uid,title,description,url,audio_url,collection,vendor,vendor_identifier,notes
040524_ColinQuinn_Toast_MRH1006,Toast,Colin Quinn,,https://themoth.box.com/s/zrazuqlhcafaxto6938xaapjm1ny5n5o,audio-library-for-web,pop_up_archive,50392,
040616_MuratGunel_TheArtOfMedicine_POD,The Art Of Medicine,Murat Gunel,,https://themoth.box.com/s/c6ounzs9vgxfaboy9k22e1yfbf371uqy,audio-library-for-web,pop_up_archive,50393,
041213_TeriGarr_WakeUpCall_POD,Wake Up Call,Teri Garr,,https://themoth.box.com/s/242rwuiif6arj1n8y1jky8mzskmk33vv,audio-library-for-web,pop_up_archive,50394,
050131_JamesBraly_SexOnIce_POD272,Sex On Ice,James Braly,,https://themoth.box.com/s/hipt4stalwijm7ya4qg6bbp701s84n63,audio-library-for-web,pop_up_archive,50395,
050210_AndyBorowitz_JustTheFacts_POD,Just The Facts,Andy Borowitz,,https://themoth.box.com/s/ujl39rpp110f8udo4mjfgtkqumrd7rai,audio-library-for-web,pop_up_archive,50396,
050212_GregBehrendt_ShesJustNotThatIntoMe_POD,She's Just Not That Into Me,Greg Behrendt,,https://themoth.box.com/s/i4c6fsm5grxcu3jrpwi3phskthbqef01,audio-library-for-web,pop_up_archive,50397,
050212_JoeLockhart_ImpeachmentDay_POD,Impeachment Day,Joe Lockhart,,https://themoth.box.com/s/hn6tvl2lkub5yucorm7pmlu8p3ng6e31,audio-library-for-web,pop_up_archive,50398,
050424_FrankDamico_FirstKill_POD,First Kill,Frank Damico,,https://themoth.box.com/s/ase09jkhivkwz51bczho6bl59v1tm544,audio-library-for-web,pop_up_archive,50399,
050517_JamesBraly_ThePlacentaMonologue_POD,The Placenta Monologue,James Braly,,https://themoth.box.com/s/livyx6v2llerof5znrqqoh969eeosduk,audio-library-for-web,pop_up_archive,50400,
051011_BorisTimanovsky_AGravePredicament_POD,A Grave Predicament,Boris Timanovsky,,https://themoth.box.com/s/h23b0fljubi61e8tb0cph3r2yrcm65d7,audio-library-for-web,pop_up_archive,50401,
